CustomerID,Country,State,City,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Value,Churn Score,CLTV,Churn Reason
3668-QPYBK,United States,California,Los Angeles,1,0,0,0,2,1,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,1,Mailed check,53.85,108.15,1,86,3239,Competitor made better offer
9237-HQITU,United States,California,Los Angeles,0,0,0,1,2,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,70.7,151.65,1,67,2701,Moved
9305-CDSKC,United States,California,Los Angeles,0,0,0,1,8,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,99.65,820.5,1,86,5372,Moved
7892-POOKP,United States,California,Los Angeles,0,0,1,1,28,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,104.8,3046.05,1,84,5003,Moved
0280-XJGEX,United States,California,Los Angeles,1,0,0,1,49,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),103.7,5036.3,1,89,5340,Competitor had better devices
4190-MFLUW,United States,California,Los Angeles,0,0,1,0,10,1,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,0,Credit card (automatic),55.2,528.35,1,78,5925,Competitor offered higher download speeds
8779-QRDMV,United States,California,Los Angeles,1,1,0,0,1,0,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,1,Electronic check,39.65,39.65,1,100,5433,Competitor offered more data
1066-JKSGK,United States,California,Los Angeles,1,0,0,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.15,20.15,1,92,4832,Competitor made better offer
6467-CHFZW,United States,California,Los Angeles,1,0,1,1,47,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,99.35,4749.15,1,77,5789,Competitor had better devices
8665-UTDHZ,United States,California,Los Angeles,1,0,1,0,1,0,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,0,Electronic check,30.2,30.2,1,97,2915,Competitor had better devices
8773-HHUOZ,United States,California,Los Angeles,0,0,0,0,17,1,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,1,Mailed check,64.7,1093.1,1,74,3022,Competitor offered higher download speeds
